subgenome,contig,n_markers,mean_abs_delta_af,max_abs_delta_af,n_markers_delta_ge_0_75,n_markers_delta_ge_0_90,genomewide_contig_rank
sgC,chr_D_sg_C_(Scaffold_1;HRSCAF_2),340206,0.3878312109690445,1.0,95769,46552,1
sgC,chr_E_sg_C_(Scaffold_3;HRSCAF_4),307962,0.08008327605163469,1.0,94,45,2
sgC,chr_G_sg_C_(Scaffold_28;HRSCAF_29),358048,0.2084974279415781,1.0,101,31,3
sgC,chr_K_sg_C_(Scaffold_30;HRSCAF_31),305210,0.1695533068098243,1.0,37,16,4
sgC,chr_A_sg_C_(Scaffold_18;HRSCAF_19),405133,0.2424222135460919,1.0,79,10,5
sgC,chr_H_sg_C_(Scaffold_12;HRSCAF_13),281930,0.08876325556702942,1.0,25,8,6
sgC,chr_F_sg_C_(Scaffold_17;HRSCAF_18),356098,0.08830808045267942,1.0,53,6,7
sgC,chr_J_sg_C_(Scaffold_7;HRSCAF_8),286299,0.05846605734307946,0.9333333333333333,40,6,8
sgC,chr_C_sg_C_(Scaffold_8;HRSCAF_9),299842,0.08105791496244065,1.0,24,5,9
sgC,chr_B_sg_C_(Scaffold_34;HRSCAF_35),480508,0.07103836717332294,1.0,17,5,10
sgC,chr_I_sg_C_(Scaffold_16;HRSCAF_17),179990,0.1622975238242875,1.0,13,5,11
sgE,chr_D_sg_E_(Scaffold_2;HRSCAF_3),435990,0.08432648504919789,1.0,1899,642,1
sgE,chr_A_sg_E_(Scaffold_19;HRSCAF_20),528332,0.0784337584017266,0.9166666666666666,164,58,2
sgE,chr_J_sg_E_(Scaffold_5;HRSCAF_6),342311,0.03913764018192583,0.9166666666666666,30,18,3
sgE,chr_I_sg_E_(Scaffold_15;HRSCAF_16),362920,0.05135790571753653,0.9583333333333334,9,8,4
sgE,chr_B_sg_E_(Scaffold_35;HRSCAF_36),825813,0.03424505547752321,1.0,60,7,5
sgE,chr_H_sg_E_(Scaffold_11;HRSCAF_12),464067,0.04266957243380596,0.9615384615384616,17,5,6
sgE,chr_E_sg_E_(Scaffold_4;HRSCAF_5),456059,0.04387517279212831,1.0,24,4,7
sgE,chr_K_sg_E_(Scaffold_31;HRSCAF_32),424538,0.05778667519006905,1.0,14,4,8
sgE,chr_G_sg_E_(Scaffold_25;HRSCAF_26),440727,0.05776466392498684,0.9166666666666666,21,2,9
sgE,chr_C_sg_E_(Scaffold_9;HRSCAF_10),446027,0.04485824690886772,0.9166666666666666,12,2,10
sgE,chr_F_sg_E_(Scaffold_24;HRSCAF_25),590285,0.04317802971077557,0.8333333333333334,21,0,11
